	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
15:45:11:285	0	0	0	0	0	0	0	0	0
15:45:11:390	0	0	0	0	0	0	0	0	0
15:45:11:491	0	0	0	0	0	0	0	0	0
15:45:11:615	0	0	0	0	0	0	0	0	0
15:45:11:718	0	0	0	0	0	0	0	0	0
15:45:11:816	0	0	0	0	0	0	0	0	0
15:45:11:929	0	0	0	0	0	0	0	0	0
15:45:12:50	0	0	0	0	0	0	0	0	0
15:45:12:162	0	0	0	0	0	0	0	0	0
15:45:12:253	0	0	0	0	0	0	0	0	0
15:45:12:379	0	0	0	0	0	0	0	0	0
15:45:12:500	0	0	0	0	0	0	0	0	0
15:45:12:590	0	0	0	0	0	0	0	0	0
15:45:12:694	0	0	0	0	0	0	0	0	0
15:45:12:802	0	0	0	0	0	0	0	0	0
15:45:12:915	0	0	0	0	0	0	0	0	0
15:45:13:38	0	0	0	0	0	0	0	0	0
15:45:13:130	0	0	0	0	0	0	0	0	0
15:45:13:251	0	0	0	0	0	0	0	0	0
15:45:13:350	0	0	0	0	0	0	0	0	0
15:45:13:459	0	0	0	0	0	0	0	0	0
15:45:13:569	0	0	0	0	0	0	0	0	0
15:45:13:681	0	0	0	0	0	0	0	0	0
15:45:13:793	0	0	0	0	0	0	0	0	0
15:45:13:886	0	0	0	0	0	0	0	0	0
15:45:13:996	0	0	0	0	0	0	0	0	0
15:45:14:120	0	0	0	0	0	0	0	0	0
15:45:14:226	0	0	0	0	0	0	0	0	0
15:45:14:331	0	0	0	0	0	0	0	0	0
15:45:14:447	0	0	0	0	0	0	0	0	0
15:45:14:656	0	0	0	0	0	0	0	0	0
15:45:14:751	0	0	0	0	0	0	0	0	0
15:45:14:846	0	0	0	0	0	0	0	0	0
15:45:14:942	0	0	0	0	0	0	0	0	0
15:45:15:49	0	0	0	0	0	0	0	0	0
15:45:15:146	0	0	0	0	0	0	0	0	0
15:45:15:241	0	0	0	0	0	0	0	0	0
15:45:15:343	0	0	0	0	0	0	0	0	0
15:45:15:440	0	0	0	0	0	0	0	0	0
15:45:15:540	0	0	0	0	0	0	0	0	0
15:45:15:643	0	0	0	0	0	0	0	0	0
15:45:15:755	0	0	0	0	0	0	0	0	0
15:45:15:855	0	0	0	0	0	0	0	0	0
15:45:15:982	0	0	0	0	0	0	0	0	0
15:45:16:78	0	0	0	0	0	0	0	0	0
15:45:16:178	0	0	0	0	0	0	0	0	0
15:45:16:293	0	0	0	0	0	0	0	0	0
15:45:16:411	0	0	0	0	0	0	0	0	0
15:45:16:511	0	0	0	0	0	0	0	0	0
15:45:16:652	0	0	0	0	0	0	0	0	0
15:45:16:739	0	0	0	0	0	0	0	0	0
15:45:16:841	0	0	0	0	0	0	0	0	0
15:45:16:951	0	0	0	0	0	0	0	0	0
15:45:17:87	0	0	0	0	0	0	0	0	0
15:45:17:176	0	0	0	0	0	0	0	0	0
15:45:17:275	0	0	0	0	0	0	0	0	0
15:45:17:388	0	0	0	0	0	0	0	0	0
15:45:17:493	0	0	0	0	0	0	0	0	0
15:45:17:632	0	0	0	0	0	0	0	0	0
15:45:17:733	0	0	0	0	0	0	0	0	0
15:45:17:835	0	0	0	0	0	0	0	0	0
15:45:17:958	0	0	0	0	0	0	0	0	0
15:45:18:60	0	0	0	0	0	0	0	0	0
15:45:18:159	0	0	0	0	0	0	0	0	0
15:45:18:283	0	0	0	0	0	0	0	0	0
15:45:18:384	0	0	0	0	0	0	0	0	0
15:45:18:591	0	0	0	0	0	0	0	0	0
15:45:18:676	0	0	0	0	0	0	0	0	0
15:45:18:796	0	0	0	0	0	0	0	0	0
15:45:18:890	0	0	0	0	0	0	0	0	0
15:45:18:983	0	0	0	0	0	0	0	0	0
15:45:19:97	0	0	0	0	0	0	0	0	0
15:45:19:182	0	0	0	0	0	0	0	0	0
15:45:19:284	0	0	0	0	0	0	0	0	0
15:45:19:382	0	0	0	0	0	0	0	0	0
15:45:19:482	0	0	0	0	0	0	0	0	0
15:45:19:581	0	0	0	0	0	0	0	0	0
15:45:19:695	0	0	0	0	0	0	0	0	0
15:45:19:818	0	0	0	0	0	0	0	0	0
15:45:19:910	0	0	0	0	0	0	0	0	0
15:45:20:30	0	0	0	0	0	0	0	0	0
15:45:20:141	0	0	0	0	0	0	0	0	0
15:45:20:246	0	0	0	0	0	0	0	0	0
15:45:20:356	0	0	0	0	0	0	0	0	0
15:45:20:478	0	0	0	0	0	0	0	0	0
15:45:20:574	0	0	0	0	0	0	0	0	0
15:45:20:669	0	0	0	0	0	0	0	0	0
15:45:20:777	0	0	0	0	0	0	0	0	0
15:45:20:900	0	0	0	0	0	0	0	0	0
15:45:21:8	0	0	0	0	0	0	0	0	0
15:45:21:253	0	0	0	0	0	0	0	0	0
15:45:21:352	0	0	0	0	0	0	0	0	0
15:45:21:444	0	0	0	0	0	0	0	0	0
15:45:21:544	0	0	0	0	0	0	0	0	0
15:45:21:647	0	0	0	0	0	0	0	0	0
15:45:21:752	0	0	0	0	0	0	0	0	0
15:45:21:846	0	0	0	0	0	0	0	0	0
15:45:21:953	0	0	0	0	0	0	0	0	0
15:45:22:48	0	0	0	0	0	0	0	0	0
15:45:22:144	0	0	0	0	0	0	0	0	0
