	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
10:24:26:637	0	0	0	0	0	0	0	0	0
10:24:26:735	0	0	0	0	0	0	0	0	0
10:24:26:852	0	0	0	0	0	0	0	0	0
10:24:26:950	0	0	0	0	0	0	0	0	0
10:24:27:75	0	0	0	0	0	0	0	0	0
10:24:27:180	0	0	0	0	0	0	0	0	0
10:24:27:271	0	0	0	0	0	0	0	0	0
10:24:27:386	0	0	0	0	0	0	0	0	0
10:24:27:498	0	0	0	0	0	0	0	0	0
10:24:27:630	0	0	0	0	0	0	0	0	0
10:24:27:729	0	0	0	0	0	0	0	0	0
10:24:27:863	0	0	0	0	0	0	0	0	0
10:24:27:959	0	0	0	0	0	0	0	0	0
10:24:28:52	0	0	0	0	0	0	0	0	0
10:24:28:192	0	0	0	0	0	0	0	0	0
10:24:28:297	0	0	0	0	0	0	0	0	0
10:24:28:391	0	0	0	0	0	0	0	0	0
10:24:28:519	0	0	0	0	0	0	0	0	0
10:24:28:616	0	0	0	0	0	0	0	0	0
10:24:28:731	0	0	0	0	0	0	0	0	0
10:24:28:827	0	0	0	0	0	0	0	0	0
10:24:28:943	0	0	0	0	0	0	0	0	0
10:24:29:54	0	0	0	0	0	0	0	0	0
10:24:29:181	0	0	0	0	0	0	0	0	0
10:24:29:286	0	0	0	0	0	0	0	0	0
10:24:29:378	0	0	0	0	0	0	0	0	0
10:24:29:493	0	0	0	0	0	0	0	0	0
10:24:29:600	0	0	0	0	0	0	0	0	0
10:24:29:702	0	0	0	0	0	0	0	0	0
10:24:29:816	0	0	0	0	0	0	0	0	0
10:24:29:927	0	0	0	0	0	0	0	0	0
10:24:30:27	0	0	0	0	0	0	0	0	0
10:24:30:138	0	0	0	0	0	0	0	0	0
10:24:30:259	0	0	0	0	0	0	0	0	0
10:24:30:357	0	0	0	0	0	0	0	0	0
10:24:30:473	0	0	0	0	0	0	0	0	0
10:24:30:573	0	0	0	0	0	0	0	0	0
10:24:30:688	0	0	0	0	0	0	0	0	0
10:24:30:827	0	0	0	0	0	0	0	0	0
10:24:30:922	0	0	0	0	0	0	0	0	0
10:24:31:40	0	0	0	0	0	0	0	0	0
10:24:31:163	0	0	0	0	0	0	0	0	0
10:24:31:260	0	0	0	0	0	0	0	0	0
10:24:31:377	0	0	0	0	0	0	0	0	0
10:24:31:496	0	0	0	0	0	0	0	0	0
10:24:31:586	0	0	0	0	0	0	0	0	0
10:24:31:701	0	0	0	0	0	0	0	0	0
10:24:31:813	0	0	0	0	0	0	0	0	0
10:24:31:919	0	0	0	0	0	0	0	0	0
10:24:32:33	0	0	0	0	0	0	0	0	0
10:24:32:135	0	0	0	0	0	0	0	0	0
10:24:32:249	0	0	0	0	0	0	0	0	0
10:24:32:362	0	0	0	0	0	0	0	0	0
10:24:32:458	0	0	0	0	0	0	0	0	0
10:24:32:571	0	0	0	0	0	0	0	0	0
10:24:32:690	0	0	0	0	0	0	0	0	0
10:24:32:789	0	0	0	0	0	0	0	0	0
10:24:32:920	0	0	0	0	0	0	0	0	0
10:24:33:6	0	0	0	0	0	0	0	0	0
10:24:33:119	0	0	0	0	0	0	0	0	0
10:24:33:254	0	0	0	0	0	0	0	0	0
10:24:33:360	0	0	0	0	0	0	0	0	0
10:24:33:478	0	0	0	0	0	0	0	0	0
10:24:33:583	0	0	0	0	0	0	0	0	0
10:24:33:667	0	0	0	0	0	0	0	0	0
10:24:33:776	0	0	0	0	0	0	0	0	0
10:24:33:893	0	0	0	0	0	0	0	0	0
10:24:34:4	0	0	0	0	0	0	0	0	0
10:24:34:108	0	0	0	0	0	0	0	0	0
10:24:34:214	0	0	0	0	0	0	0	0	0
10:24:34:323	0	0	0	0	0	0	0	0	0
10:24:34:447	0	0	0	0	0	0	0	0	0
10:24:34:582	0	0	0	0	0	0	0	0	0
10:24:34:647	0	0	0	0	0	0	0	0	0
10:24:34:763	0	0	0	0	0	0	0	0	0
10:24:34:884	0	0	0	0	0	0	0	0	0
10:24:34:982	0	0	0	0	0	0	0	0	0
10:24:35:119	0	0	0	0	0	0	0	0	0
10:24:35:196	0	0	0	0	0	0	0	0	0
10:24:35:311	0	0	0	0	0	0	0	0	0
10:24:35:430	0	0	0	0	0	0	0	0	0
10:24:35:536	0	0	0	0	0	0	0	0	0
10:24:35:650	0	0	0	0	0	0	0	0	0
10:24:35:790	0	0	0	0	0	0	0	0	0
10:24:35:876	0	0	0	0	0	0	0	0	0
10:24:35:984	0	0	0	0	0	0	0	0	0
10:24:36:87	0	0	0	0	0	0	0	0	0
10:24:36:217	0	0	0	0	0	0	0	0	0
10:24:36:328	0	0	0	0	0	0	0	0	0
10:24:36:466	0	0	0	0	0	0	0	0	0
10:24:36:567	0	0	0	0	0	0	0	0	0
10:24:36:648	0	0	0	0	0	0	0	0	0
10:24:36:760	0	0	0	0	0	0	0	0	0
10:24:36:851	0	0	0	0	0	0	0	0	0
10:24:36:973	0	0	0	0	0	0	0	0	0
10:24:37:63	0	0	0	0	0	0	0	0	0
10:24:37:176	0	0	0	0	0	0	0	0	0
10:24:37:289	0	0	0	0	0	0	0	0	0
10:24:37:392	0	0	0	0	0	0	0	0	0
10:24:37:504	0	0	0	0	0	0	0	0	0
10:24:37:599	0	0	0	0	0	0	0	0	0
10:24:37:712	0	0	0	0	0	0	0	0	0
10:24:37:822	0	0	0	0	0	0	0	0	0
10:24:37:945	0	0	0	0	0	0	0	0	0
10:24:38:56	0	0	0	0	0	0	0	0	0
10:24:38:168	0	0	0	0	0	0	0	0	0
10:24:38:261	0	0	0	0	0	0	0	0	0
10:24:38:359	0	0	0	0	0	0	0	0	0
10:24:38:484	0	0	0	0	0	0	0	0	0
10:24:38:599	0	0	0	0	0	0	0	0	0
10:24:38:695	0	0	0	0	0	0	0	0	0
10:24:38:808	0	0	0	0	0	0	0	0	0
10:24:38:919	0	0	0	0	0	0	0	0	0
10:24:39:21	0	0	0	0	0	0	0	0	0
10:24:39:157	0	0	0	0	0	0	0	0	0
10:24:39:270	0	0	0	0	0	0	0	0	0
10:24:39:344	0	0	0	0	0	0	0	0	0
10:24:39:478	0	0	0	0	0	0	0	0	0
10:24:39:564	0	0	0	0	0	0	0	0	0
10:24:39:710	0	0	0	0	0	0	0	0	0
10:24:39:782	0	0	0	0	0	0	0	0	0
10:24:39:895	0	0	0	0	0	0	0	0	0
10:24:40:7	0	0	0	0	0	0	0	0	0
10:24:40:130	0	0	0	0	0	0	0	0	0
10:24:40:241	0	0	0	0	0	0	0	0	0
10:24:40:344	0	0	0	0	0	0	0	0	0
10:24:40:463	0	0	0	0	0	0	0	0	0
10:24:40:559	0	0	0	0	0	0	0	0	0
10:24:40:672	0	0	0	0	0	0	0	0	0
10:24:40:790	0	0	0	0	0	0	0	0	0
10:24:40:883	0	0	0	0	0	0	0	0	0
10:24:40:986	0	0	0	0	0	0	0	0	0
10:24:41:119	0	0	0	0	0	0	0	0	0
